,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
91,595,157,Man Utd,6,False,2023-12-09T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,0,0,24,22.8,1.3,2.0,2.6,1,0.00,0.01,0.01,1.16,44,549,20926,1339,790,595,Milos Kerkez,44,DEF,Nott'm Forest,Bournemouth,Bournemouth
92,607,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-65,9790,145,210,607,Ionuț Radu,44,GKP,Nott'm Forest,Bournemouth,Bournemouth
93,619,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-61,18308,361,422,619,Ben Greenwood,40,DEF,Nott'm Forest,Bournemouth,Bournemouth
94,643,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-781,15938,43,824,643,Max Aarons,44,DEF,Nott'm Forest,Bournemouth,Bournemouth
95,644,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-28,701,13,41,644,Alex Scott,49,MID,Nott'm Forest,Bournemouth,Bournemouth
96,90,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-6036,31738,23,6059,90,Kristoffer Ajer,45,DEF,Brentford,Wolves,Brentford
97,91,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-105,22367,379,484,91,Ellery Balcombe,39,GKP,Brentford,Wolves,Brentford
98,92,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,64,0,0,0,1,0,0,0,0,0,0,0,16,7.6,12.8,0.0,2.0,1,0.00,0.01,0.01,0.61,43,13868,131999,19802,5934,92,Shandon Baptiste,43,MID,Brentford,Wolves,Brentford
99,93,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-133,8906,0,133,93,Mads Bech Sørensen,40,DEF,Brentford,Wolves,Brentford
100,94,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1,133,0,1,94,Mads Bidstrup,45,MID,Brentford,Wolves,Brentford
101,95,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-15,1205,0,15,95,Sergi Canós Tenés,50,MID,Brentford,Wolves,Brentford
102,96,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-6369,51021,61,6430,96,Nathan Collins,45,DEF,Brentford,Wolves,Brentford
103,97,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-9,589,0,9,97,Matthew Cox,40,GKP,Brentford,Wolves,Brentford
104,98,158,Sheffield Utd,1,False,2023-12-09T15:00:00Z,1,0,16,25,0,0,0,0,0,0,0,0,0,0,0,1,0.6,4.8,2.0,0.7,0,0.00,0.01,0.01,0.27,48,67,3932,93,26,98,Mikkel Damsgaard,48,MID,Brentford,Wolves,Brentford
105,99,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,-31,2740,8,39,99,Josh Dasilva,47,MID,Brentford,Wolves,Brentford
106,100,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4,647,0,4,100,Halil Dervişoğlu,45,FWD,Brentford,Wolves,Brentford
107,101,158,Sheffield Utd,3,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,3,0,18,22.4,0.0,0.0,2.2,1,0.00,0.00,0.00,0.89,45,17762,339965,27870,10108,101,Mark Flekken,45,GKP,Brentford,Wolves,Brentford
108,102,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,509,24426,1314,805,102,Charlie Goode,39,DEF,Brentford,Wolves,Brentford
109,103,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-2569,106002,26,2595,103,Rico Henry,43,DEF,Brentford,Wolves,Brentford
110,104,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-647,17962,15,662,104,Aaron Hickey,44,DEF,Brentford,Wolves,Brentford
111,105,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,15,17.6,29.6,4.0,5.1,1,0.00,0.21,0.21,0.89,53,2871,10484,3517,646,105,Vitaly Janelt,53,MID,Brentford,Wolves,Brentford
112,106,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-32062,142096,394,32456,106,Mathias Jensen,54,MID,Brentford,Wolves,Brentford
113,107,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,65,0,0,0,1,0,0,0,0,0,0,0,6,2.8,15.2,4.0,2.2,1,0.00,0.06,0.06,0.61,47,476,2677,569,93,107,Keane Lewis-Potter,47,MID,Brentford,Wolves,Brentford
114,108,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,70,-1563336,1767833,21773,1585109,108,Bryan Mbeumo,69,MID,Brentford,Wolves,Brentford
115,109,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,11,12.4,5.6,11.0,2.9,1,0.12,0.05,0.17,0.89,48,50659,261056,56879,6220,109,Ben Mee,48,DEF,Brentford,Wolves,Brentford
116,110,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,14,14.0,9.7,11.0,3.5,1,0.14,0.22,0.36,0.89,54,658,16937,1598,940,110,Christian Nørgaard,54,MID,Brentford,Wolves,Brentford
117,111,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,45,0,0,0,1,0,0,0,1,0,0,0,-1,9.0,0.8,8.0,1.8,1,0.09,0.04,0.13,0.12,49,184,2501,421,237,111,Frank Onyeka,49,MID,Brentford,Wolves,Brentford
118,112,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,17,19.4,0.9,6.0,2.6,1,0.05,0.01,0.06,0.89,46,19411,479806,36753,17342,112,Ethan Pinnock,46,DEF,Brentford,Wolves,Brentford
119,114,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,525,7999,825,300,114,Mads Roerslev Rasmussen,44,DEF,Brentford,Wolves,Brentford
120,115,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-85,5921,8,93,115,Kevin Schade,53,MID,Brentford,Wolves,Brentford
121,116,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-9418,234950,3565,12983,116,Thomas Strakosha,39,GKP,Brentford,Wolves,Brentford
122,117,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,79,2,7195,118,116,117,Ivan Toney,79,FWD,Brentford,Wolves,Brentford
123,118,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-12,1257,0,12,118,Ryan Trevitt,45,MID,Brentford,Wolves,Brentford
124,119,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,3,7.4,0.6,40.0,4.8,1,0.15,0.00,0.15,0.89,59,-43112,843619,27246,70358,119,Yoane Wissa,58,FWD,Brentford,Wolves,Brentford
125,120,158,Sheffield Utd,1,False,2023-12-09T15:00:00Z,1,0,16,45,0,0,0,0,0,0,0,0,0,0,0,5,10.0,1.1,17.0,2.8,0,0.02,0.01,0.03,0.76,44,-426,63578,1248,1674,120,Yegor Yarmoliuk,44,MID,Brentford,Wolves,Brentford
126,121,158,Sheffield Utd,0,False,2023-12-09T15:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-58,6835,60,118,121,Mathias Jorgensen,43,DEF,Brentford,Wolves,Brentford
127,258,158,Sheffield Utd,2,False,2023-12-09T15:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,7,5.0,13.9,13.0,3.2,1,0.07,0.05,0.12,0.89,49,16849,154220,24180,7331,258,Neal Maupay,49,FWD,Brentford,Wolves,Brentford
128,620,158,Sheffield Utd,1,False,2023-12-09T15:00:00Z,1,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,4.0,0.5,0,0.00,0.00,0.00,0.27,45,-60,2626,73,133,620,Michael Olakigbe,45,MID,Brentford,Wolves,Brentford
129,122,152,Burnley,10,True,2023-12-09T15:00:00Z,1,1,16,90,1,0,0,1,0,0,0,0,0,0,3,31,48.8,49.7,77.0,17.6,1,0.61,0.21,0.82,0.94,50,-4156,126921,10808,14964,122,Simon Adingra,50,MID,Crystal Palace,Brighton,Brighton
130,123,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-83,5423,0,83,123,Steven Alzate,44,MID,Crystal Palace,Brighton,Brighton
131,124,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-24,1821,0,24,124,Yasin Ayari,45,MID,Crystal Palace,Brighton,Brighton
132,125,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,4.0,0.4,0,0.00,0.00,0.00,0.00,47,327,5066,721,394,125,Facundo Buonanotte,47,MID,Crystal Palace,Brighton,Brighton
133,127,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-16,1942,0,16,127,Aaron Connolly,45,FWD,Crystal Palace,Brighton,Brighton
134,128,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,45,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.8,2.0,0.0,1,0.08,0.01,0.09,0.28,48,-114,7608,51,165,128,Mahmoud Dahoud,48,MID,Crystal Palace,Brighton,Brighton
135,129,152,Burnley,2,True,2023-12-09T15:00:00Z,1,1,16,84,0,0,0,1,0,0,0,0,0,0,0,16,23.2,24.9,0.0,4.8,1,0.00,0.05,0.05,0.94,50,8999,306042,15727,6728,129,Lewis Dunk,50,DEF,Crystal Palace,Brighton,Brighton
136,130,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,51,-488,49203,11,499,130,Julio Enciso,51,MID,Crystal Palace,Brighton,Brighton
137,131,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-63140,1527245,159,63299,131,Pervis Estupiñán,50,DEF,Crystal Palace,Brighton,Brighton
138,132,152,Burnley,2,True,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,8,5.0,11.3,27.0,4.3,1,0.12,0.07,0.19,0.94,61,-16974,818608,35693,52667,132,Evan Ferguson,60,FWD,Crystal Palace,Brighton,Brighton
139,133,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,45,0,0,0,0,0,0,0,0,0,0,0,9,4.8,14.7,7.0,2.7,0,0.05,0.07,0.12,0.66,49,-1772,40938,858,2630,133,Billy Gilmour,49,MID,Crystal Palace,Brighton,Brighton
140,134,152,Burnley,7,True,2023-12-09T15:00:00Z,1,1,16,90,0,1,0,1,0,0,0,0,0,0,2,29,50.6,93.0,34.0,17.8,1,0.27,0.58,0.85,0.94,63,113733,309070,118968,5235,134,Pascal Groß,64,MID,Crystal Palace,Brighton,Brighton
141,135,152,Burnley,2,True,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,5,12.6,16.4,63.0,9.2,1,0.42,0.20,0.62,0.94,54,64978,1128652,99582,34604,135,João Pedro Junqueira de Jesus,54,FWD,Crystal Palace,Brighton,Brighton
142,136,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-11,1382,0,11,136,Michał Karbownik,40,DEF,Crystal Palace,Brighton,Brighton
143,137,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,122,0,0,137,Kacper Kozłowski,45,MID,Crystal Palace,Brighton,Brighton
144,138,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,45,0,0,0,1,0,0,0,0,0,0,0,3,0.4,17.8,14.0,3.2,1,0.04,0.07,0.11,0.28,49,-35,5171,270,305,138,Adam Lallana,49,MID,Crystal Palace,Brighton,Brighton
145,139,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-26506,570802,212,26718,139,Tariq Lamptey,40,DEF,Crystal Palace,Brighton,Brighton
146,140,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,61,-5246,250632,54,5300,140,Solly March,61,MID,Crystal Palace,Brighton,Brighton
147,141,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-414,31305,386,800,141,Tom McGill,39,GKP,Crystal Palace,Brighton,Brighton
148,142,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,58,0,0,0,1,0,0,0,0,0,0,0,13,17.4,38.1,19.0,7.5,1,0.04,0.21,0.25,0.94,48,-37,12461,146,183,142,James Milner,48,MID,Crystal Palace,Brighton,Brighton
149,143,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,45,0,0,0,0,0,0,0,0,0,0,0,-2,2.4,16.5,59.0,7.8,0,0.24,0.42,0.66,0.66,65,94607,2460993,147926,53319,143,Kaoru Mitoma,65,MID,Crystal Palace,Brighton,Brighton
150,144,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,4,6960,201,197,144,Jakub Moder,44,MID,Crystal Palace,Brighton,Brighton
151,146,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3,889,0,3,146,Jeremy Sarmiento Morante,45,MID,Crystal Palace,Brighton,Brighton
152,147,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,74,0,0,147,Kjell Scherpen,40,GKP,Crystal Palace,Brighton,Brighton
153,148,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,8131,246907,14725,6594,148,Jason Steele,43,GKP,Crystal Palace,Brighton,Brighton
154,149,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-7,1462,0,7,149,Deniz Undav,55,FWD,Crystal Palace,Brighton,Brighton
155,150,152,Burnley,2,True,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,15,21.4,19.8,4.0,4.5,1,0.07,0.12,0.19,0.94,40,10403,210531,15424,5021,150,Jan Paul van Hecke,40,DEF,Crystal Palace,Brighton,Brighton
156,151,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,60,96977,5369,5309,151,Joël Veltman,44,DEF,Crystal Palace,Brighton,Brighton
157,152,152,Burnley,2,True,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,2,0,14,21.8,0.0,0.0,2.2,1,0.00,0.00,0.00,0.94,44,-63,39329,2181,2244,152,Bart Verbruggen,44,GKP,Crystal Palace,Brighton,Brighton
158,153,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-989,17964,14,1003,153,Adam Webster,42,DEF,Crystal Palace,Brighton,Brighton
159,154,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,57,-1049,61234,55,1104,154,Danny Welbeck,57,FWD,Crystal Palace,Brighton,Brighton
160,155,152,Burnley,0,True,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-694,53816,0,694,155,Andi Zeqiri,44,FWD,Crystal Palace,Brighton,Brighton
161,606,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,31,0,0,0,0,0,0,0,0,0,0,0,12,9.2,5.3,0.0,1.5,0,0.00,0.05,0.05,0.00,43,1918,16501,2720,802,606,Igor Julio dos Santos de Paulo,43,DEF,Crystal Palace,Brighton,Brighton
162,621,152,Burnley,1,True,2023-12-09T15:00:00Z,1,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.6,59.0,6.5,0,0.79,0.00,0.79,0.00,45,2660,5025,2877,217,621,Jack Hinshelwood,45,MID,Crystal Palace,Brighton,Brighton
163,156,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-661,26785,1041,1702,156,Enock Agyei,43,MID,Fulham,Burnley,Burnley
164,157,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-1754,64952,1032,2786,157,Ameen Al-Dakhil,39,DEF,Fulham,Burnley,Burnley
165,158,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-6,1473,0,6,158,Samuel Bastien,49,MID,Fulham,Burnley,Burnley
166,159,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,52,-18,6200,48,66,159,Manuel Benson Hedilazio,52,MID,Fulham,Burnley,Burnley
167,160,152,Brighton,2,False,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,16,33.6,0.1,0.0,3.4,1,0.00,0.00,0.00,2.72,40,967,152482,3464,2497,160,Jordan Beyer,40,DEF,Fulham,Burnley,Burnley
168,161,152,Brighton,2,False,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,18,14.6,1.3,0.0,1.6,1,0.00,0.01,0.01,2.72,47,1405,33779,5102,3697,161,Josh Brownhill,47,MID,Fulham,Burnley,Burnley
169,162,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-17,2090,41,58,162,Darko Churlinov,44,MID,Fulham,Burnley,Burnley
170,163,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-47,2038,10,57,163,Jack Cork,48,MID,Fulham,Burnley,Burnley
171,164,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-14,993,0,14,164,Dara Costelloe,45,MID,Fulham,Burnley,Burnley
172,165,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-293,5763,26,319,165,Josh Cullen,50,MID,Fulham,Burnley,Burnley
173,166,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-37,24201,578,615,166,CJ Egan-Riley,39,DEF,Fulham,Burnley,Burnley
174,167,152,Brighton,1,False,2023-12-09T15:00:00Z,1,1,16,8,0,0,0,0,0,0,0,0,0,0,0,5,5.0,0.0,0.0,0.5,0,0.00,0.00,0.00,1.11,39,1040,14891,1462,422,167,Hjalmar Ekdal,39,DEF,Fulham,Burnley,Burnley
175,168,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-6335,67322,160,6495,168,Lyle Foster,48,FWD,Fulham,Burnley,Burnley
176,169,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-278,16458,207,485,169,Denis Franchi,39,GKP,Fulham,Burnley,Burnley
177,170,152,Brighton,1,False,2023-12-09T15:00:00Z,1,1,16,57,0,0,0,0,0,0,0,0,0,0,0,3,4.0,11.7,4.0,2.0,1,0.07,0.07,0.14,0.69,48,-85,2896,161,246,170,Jóhann Berg Gudmundsson,48,MID,Fulham,Burnley,Burnley
178,171,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-12,1134,0,12,171,Luke McNally,40,DEF,Fulham,Burnley,Burnley
179,172,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-146,14174,75,221,172,Arijanet Muric,43,GKP,Fulham,Burnley,Burnley
180,173,152,Brighton,1,False,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,1,0,0,0,9,25.8,0.7,4.0,3.1,1,0.00,0.01,0.01,2.72,44,-655,20106,706,1361,173,Dara O'Shea,44,DEF,Fulham,Burnley,Burnley
181,174,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-18,3155,170,188,174,Michael Obafemi,49,FWD,Fulham,Burnley,Burnley
182,175,152,Brighton,0,False,2023-12-09T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-6,991,0,6,175,Bailey Peacock-Farrell,40,GKP,Fulham,Burnley,Burnley
183,176,152,Brighton,1,False,2023-12-09T15:00:00Z,1,1,16,11,0,0,0,0,0,0,0,0,0,0,0,3,9.0,0.0,0.0,0.9,0,0.00,0.00,0.00,1.11,43,-464,18806,95,559,176,Connor Roberts,43,DEF,Fulham,Burnley,Burnley
184,177,152,Brighton,5,False,2023-12-09T15:00:00Z,1,1,16,77,0,1,0,1,0,0,0,0,0,0,0,14,22.4,11.4,41.0,7.5,1,0.66,0.01,0.67,1.61,53,-1110,33238,3319,4429,177,Jay Rodriguez,53,FWD,Fulham,Burnley,Burnley
185,178,152,Brighton,1,False,2023-12-09T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,1,0,0,0,9,12.6,1.8,0.0,1.4,1,0.00,0.00,0.00,2.72,40,23454,651555,35488,12034,178,Charlie Taylor,40,DEF,Fulham,Burnley,Burnley
